[LOG] system_create                            : Header version = 2.03.07. Current version = 2.03.07.
[LOG] Manager::init                            : maxchannels = 256 studioflags = 00000006 flags 00000000 extradriverdata 0000000000000000.
[LOG] SystemI::init                            : Initialize version=20307 (150747), maxchannels=256, flags=0x00020000
[LOG] SystemI::setOutputInternal               : Setting output to 'FMOD WASAPI Output'
[LOG] OutputWASAPI::init                       : Mix Format (WAVEFORMATEX): wFormatTag=0xFFFE, nChannels=2, nSamplesPerSec=48000, nAvgBytesPerSec=384000, nBlockAlign=8, wBitsPerSample=32, cbSize=22.
[LOG] OutputWASAPI::init                       : Mix Format (WAVEFORMATEXTENSIBLE): wValidBitsPerSample=32, dwChannelMask=0x00000003, SubFormat=00000003-0000-0010-8000-00AA00389B71.
[LOG] OutputWASAPI::init                       : Output buffer size: 2048 samples, latency: 0.00ms, period: 10.00ms, DSP buffer: 512 * 4
[LOG] Thread::initThread                       : Init FMOD stream thread. Affinity: 0x4000000000000003, Priority: 0xFFFF7FFB, Stack Size: 98304, Semaphore: No, Sleep Time: 10, Looping: Yes.
[LOG] SystemI::DSPCodecPoolRegister            : register codec pool for pool type 0
[LOG] Thread::initThread                       : Init FMOD mixer thread. Affinity: 0x4000000000000001, Priority: 0xFFFF7FFA, Stack Size: 81920, Semaphore: No, Sleep Time: 0, Looping: Yes.
[LOG] AsyncManager::init                       : manager 0000022732134F68 isAsync 0 updatePeriod 0.02
[LOG] AsyncManager::init                       : done
[LOG] PlaybackSystem::init                     : 
[LOG] Thread::initThread                       : Init FMOD Studio sample load thread. Affinity: 0x4000000000000003, Priority: 0xFFFF7FFD, Stack Size: 98304, Semaphore: No, Sleep Time: 1, Looping: No.
[LOG] PlaybackSystem::init                     : done
[LOG] Thread::initThread                       : Init FMOD Studio bank load thread. Affinity: 0x4000000000000003, Priority: 0xFFFF7FFD, Stack Size: 98304, Semaphore: No, Sleep Time: 1, Looping: No.
[LOG] Manager::init                            : done.
[ERR] RuntimeBankModel::openFile               : Failed to open file '../../OneDrive - e-artsup/Documents/03-PFE/Fmod/MoonlitMixes_AudioSystem/Build/Desktop/Master.strings.bank'
[ERR] RuntimeBankModel::openFile               : Failed to open file '../../OneDrive - e-artsup/Documents/03-PFE/Fmod/MoonlitMixes_AudioSystem/Build/Desktop/Dialogue.bank'
[ERR] RuntimeBankModel::openFile               : Failed to open file '../../OneDrive - e-artsup/Documents/03-PFE/Fmod/MoonlitMixes_AudioSystem/Build/Desktop/Master.bank'
[ERR] RuntimeBankModel::openFile               : Failed to open file '../../OneDrive - e-artsup/Documents/03-PFE/Fmod/MoonlitMixes_AudioSystem/Build/Desktop/Music.bank'
[ERR] RuntimeBankModel::openFile               : Failed to open file '../../OneDrive - e-artsup/Documents/03-PFE/Fmod/MoonlitMixes_AudioSystem/Build/Desktop/SFX.bank'
[WRN] ObjectLookup::get                        : Lookup failed for EventModel: {a8c10d41-ba02-4f98-87ad-b4d02e5c87ef}
[WRN] ObjectLookup::get                        : Lookup failed for EventModel: {a8c10d41-ba02-4f98-87ad-b4d02e5c87ef}
[ERR] RuntimeBankModel::openFile               : Failed to open file '../../OneDrive - e-artsup/Documents/03-PFE/Fmod/MoonlitMixes_AudioSystem/Build/Desktop/Master.strings.bank'
[ERR] RuntimeBankModel::openFile               : Failed to open file '../../OneDrive - e-artsup/Documents/03-PFE/Fmod/MoonlitMixes_AudioSystem/Build/Desktop/Dialogue.bank'
[ERR] RuntimeBankModel::openFile               : Failed to open file '../../OneDrive - e-artsup/Documents/03-PFE/Fmod/MoonlitMixes_AudioSystem/Build/Desktop/Master.bank'
[ERR] RuntimeBankModel::openFile               : Failed to open file '../../OneDrive - e-artsup/Documents/03-PFE/Fmod/MoonlitMixes_AudioSystem/Build/Desktop/Music.bank'
[ERR] RuntimeBankModel::openFile               : Failed to open file '../../OneDrive - e-artsup/Documents/03-PFE/Fmod/MoonlitMixes_AudioSystem/Build/Desktop/SFX.bank'
[WRN] ObjectLookup::get                        : Lookup failed for EventModel: {a8c10d41-ba02-4f98-87ad-b4d02e5c87ef}
[WRN] ObjectLookup::get                        : Lookup failed for EventModel: {a8c10d41-ba02-4f98-87ad-b4d02e5c87ef}
[WRN] ObjectLookup::get                        : Lookup failed for EventModel: {a8c10d41-ba02-4f98-87ad-b4d02e5c87ef}
[WRN] ObjectLookup::get                        : Lookup failed for EventModel: {a8c10d41-ba02-4f98-87ad-b4d02e5c87ef}
[WRN] ObjectLookup::get                        : Lookup failed for EventModel: {a19453a6-d89c-4386-8092-84bd3df01b18}
